"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"0","40.75058","-73.99358","0"
"0","40.74584","-73.90297","1"
"0","40.71957","-73.84481","2"
"0","40.70964","-73.83089","3"
"0","40.6996","-73.80853","4"
"0","40.69118","-73.76551","5"
"0","40.66151","-73.70476","6"
"0","40.65605","-73.67607","7"
"0","40.65831","-73.64655","8"
"0","40.65672","-73.60716","9"
"0","40.65745","-73.58232","10"
"0","40.66379","-73.55062","11"
"0","40.66879","-73.52886","12"
"0","40.67298","-73.50896","13"
"0","40.67572","-73.48657","14"
"0","40.67692","-73.46905","15"
"0","40.67785","-73.45474","16"
"0","40.68024","-73.42031","17"
"0","40.68101","-73.39834","18"
"0","40.68826","-73.36921","19"
"0","40.70068","-73.32405","20"
"1","40.75058","-73.99358","0"
"1","40.74584","-73.90297","1"
"1","40.71957","-73.84481","2"
"1","40.70964","-73.83089","3"
"1","40.6996","-73.80853","4"
"1","40.67513","-73.76504","5"
"1","40.66847","-73.75175","6"
"1","40.66594","-73.73555","7"
"1","40.66151","-73.70476","8"
"1","40.65605","-73.67607","9"
"1","40.65831","-73.64655","10"
"1","40.65672","-73.60716","11"
"1","40.65745","-73.58232","12"
"1","40.66379","-73.55062","13"
"1","40.66879","-73.52886","14"
"1","40.67298","-73.50896","15"
"1","40.67572","-73.48657","16"
"1","40.67692","-73.46905","17"
"1","40.67785","-73.45474","18"
"1","40.68024","-73.42031","19"
"1","40.68101","-73.39834","20"
"1","40.68826","-73.36921","21"
"1","40.70068","-73.32405","22"
"2","40.684901","-73.97768","0"
"2","40.67838","-73.94822","1"
"2","40.6758","-73.90281","2"
"2","40.6996","-73.80853","3"
"2","40.69118","-73.76551","4"
"2","40.66151","-73.70476","5"
"2","40.65605","-73.67607","6"
"2","40.65831","-73.64655","7"
"2","40.65672","-73.60716","8"
"2","40.65745","-73.58232","9"
"2","40.66379","-73.55062","10"
"2","40.66879","-73.52886","11"
"2","40.67298","-73.50896","12"
"2","40.67572","-73.48657","13"
"2","40.67692","-73.46905","14"
"2","40.67785","-73.45474","15"
"2","40.68024","-73.42031","16"
"2","40.68101","-73.39834","17"
"2","40.68826","-73.36921","18"
"2","40.70068","-73.32405","19"
"3","40.76948","-73.29356","0"
"3","40.78083","-73.24361","1"
"3","40.80808","-73.10594","2"
"3","40.81739","-72.99891","3"
"3","40.8256","-72.91588","4"
"3","40.91983","-72.66691","5"
"4","40.80808","-73.10594","0"
"4","40.81739","-72.99891","1"
"4","40.8256","-72.91588","2"
"4","40.91983","-72.66691","3"
"4","40.99179","-72.53606","4"
"4","41.0662","-72.4281","5"
"4","41.0997","-72.3631","6"
"5","40.80808","-73.10594","0"
"5","40.81739","-72.99891","1"
"5","40.8256","-72.91588","2"
"5","40.91983","-72.66691","3"
"5","40.99179","-72.53606","4"
"5","41.0662","-72.4281","5"
"5","41.0997","-72.3631","6"
"6","40.80808","-73.10594","0"
"6","40.81739","-72.99891","1"
"6","40.8256","-72.91588","2"
"6","40.91983","-72.66691","3"
"7","40.80808","-73.10594","0"
"7","40.81739","-72.99891","1"
"7","40.8256","-72.91588","2"
"8","40.75058","-73.99358","0"
"8","40.74584","-73.90297","1"
"8","40.75239","-73.8437","2"
"8","40.75789","-73.83135","3"
"8","40.7627","-73.81454","4"
"8","40.76164","-73.80176","5"
"8","40.76143","-73.78996","6"
"8","40.76314","-73.77125","7"
"8","40.76806","-73.74941","8"
"8","40.77504","-73.74065","9"
"8","40.78721","-73.7261","10"
"9","40.75058","-73.99358","0"
"9","40.74584","-73.90297","1"
"9","40.75239","-73.8437","2"
"9","40.75789","-73.83135","3"
"9","40.7627","-73.81454","4"
"9","40.76164","-73.80176","5"
"9","40.76143","-73.78996","6"
"9","40.76314","-73.77125","7"
