service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20111205,20120401
2,1,0,0,0,0,0,1,20111205,20120401
3,0,0,0,0,1,0,0,20111205,20120401
4,0,0,0,0,0,1,1,20111205,20120401
5,0,0,0,0,0,0,1,20111205,20120401
6,0,0,0,0,0,1,0,20111205,20120401
2861,0,0,0,0,0,0,0,20111205,20120401
2905,0,0,0,0,0,0,0,20111205,20120401
2906,0,0,0,0,0,0,0,20111205,20120401
2919,0,0,0,0,0,0,0,20111205,20120401
2920,0,0,0,0,0,0,0,20111205,20120401
2921,0,0,0,0,0,0,0,20111205,20120401
2922,0,0,0,0,0,0,0,20111205,20120401
2923,0,0,0,0,0,0,0,20111205,20120401
2924,0,0,0,0,0,0,0,20111205,20120401
2925,0,0,0,0,0,0,0,20111205,20120401
2926,0,0,0,0,0,0,0,20111205,20120401
2927,0,0,0,0,0,0,0,20111205,20120401
