service_id,date,exception_type
1,20111202,2
3,20111202,2
2861,20111202,1
4,20111203,2
6,20111203,2
2905,20111203,1
2,20111204,2
4,20111204,2
5,20111204,2
2906,20111204,1
4,20111210,2
6,20111210,2
2919,20111210,1
4,20111217,2
6,20111217,2
2919,20111217,1
2,20111211,2
4,20111211,2
5,20111211,2
2920,20111211,1
2,20111218,2
4,20111218,2
5,20111218,2
2920,20111218,1
1,20111223,2
3,20111223,2
2921,20111223,1
4,20111224,2
6,20111224,2
2922,20111224,1
2,20111225,2
4,20111225,2
5,20111225,2
2923,20111225,1
1,20111226,2
2,20111226,2
2924,20111226,1
1,20120102,2
2,20120102,2
2925,20120102,1
1,20111227,2
2926,20111227,1
1,20111230,2
3,20111230,2
2927,20111230,1
