trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
4198950,07:03:00,07:03:00,112,1,0,0
4198950,07:06:00,07:06:00,111,2,0,0
4198950,07:10:00,07:10:00,110,3,0,0
4198950,07:31:00,07:31:00,4,4,1,0
4198950,07:44:00,07:44:00,1,5,0,0
4198951,07:22:00,07:22:00,108,1,0,0
4198951,07:26:00,07:26:00,106,2,0,0
4198951,07:30:00,07:30:00,105,3,0,0
4198951,07:59:00,07:59:00,1,4,0,0
4198952,07:56:00,07:56:00,108,1,0,0
4198952,07:59:00,07:59:00,106,2,0,0
4198952,08:02:00,08:02:00,105,3,0,0
4198952,08:17:00,08:17:00,4,4,1,0
4198952,08:30:00,08:30:00,1,5,0,0
4198953,08:15:00,08:15:00,108,1,0,0
4198953,08:18:00,08:18:00,106,2,0,0
4198953,08:21:00,08:21:00,105,3,0,0
4198953,08:36:00,08:36:00,4,4,1,0
4198953,08:49:00,08:49:00,1,5,0,0
4198954,08:12:00,08:12:00,112,1,0,0
4198954,08:15:00,08:15:00,111,2,0,0
4198954,08:18:00,08:18:00,110,3,0,0
4198954,08:39:00,08:39:00,4,4,1,0
4198954,08:52:00,08:52:00,1,5,0,0
4198955,08:30:00,08:30:00,108,1,0,0
4198955,08:33:00,08:33:00,106,2,0,0
4198955,08:36:00,08:36:00,105,3,0,0
4198955,09:05:00,09:05:00,1,4,0,0
4198956,08:29:00,08:29:00,112,1,0,0
4198956,08:32:00,08:32:00,111,2,0,0
4198956,08:35:00,08:35:00,110,3,0,0
4198956,08:39:00,08:39:00,108,4,0,0
4198956,08:42:00,08:42:00,106,5,0,0
4198956,08:45:00,08:45:00,105,6,0,0
4198956,08:54:00,08:54:00,56,7,1,0
4198956,09:02:00,09:02:00,4,8,1,0
4198956,09:15:00,09:15:00,1,9,0,0
4198957,08:55:00,08:55:00,112,1,0,0
4198957,08:58:00,08:58:00,111,2,0,0
4198957,09:01:00,09:01:00,110,3,0,0
4198957,09:05:00,09:05:00,108,4,0,0
4198957,09:08:00,09:08:00,106,5,0,0
4198957,09:11:00,09:11:00,105,6,0,0
4198957,09:19:00,09:19:00,56,7,1,0
4198957,09:28:00,09:28:00,4,8,1,0
4198957,09:39:00,09:39:00,1,9,0,0
4198958,09:19:00,09:19:00,112,1,0,0
4198958,09:22:00,09:22:00,111,2,0,0
4198958,09:25:00,09:25:00,110,3,0,0
4198958,09:29:00,09:29:00,108,4,0,0
4198958,09:32:00,09:32:00,106,5,0,0
4198958,09:35:00,09:35:00,105,6,0,0
4198958,09:45:00,09:45:00,56,7,1,0
4198958,09:53:00,09:53:00,4,8,1,0
4198958,10:04:00,10:04:00,1,9,0,0
4198959,09:45:00,09:45:00,112,1,0,0
4198959,09:48:00,09:48:00,111,2,0,0
4198959,09:51:00,09:51:00,110,3,0,0
4198959,09:55:00,09:55:00,108,4,0,0
4198959,09:58:00,09:58:00,106,5,0,0
4198959,10:01:00,10:01:00,105,6,0,0
4198959,10:10:00,10:10:00,56,7,1,0
4198959,10:18:00,10:18:00,4,8,1,0
4198959,10:29:00,10:29:00,1,9,0,0
4198961,10:21:00,10:21:00,112,1,0,0
4198961,10:24:00,10:24:00,111,2,0,0
4198961,10:27:00,10:27:00,110,3,0,0
4198961,10:31:00,10:31:00,108,4,0,0
4198961,10:34:00,10:34:00,106,5,0,0
4198961,10:37:00,10:37:00,105,6,0,0
4198961,10:46:00,10:46:00,56,7,1,0
4198961,10:54:00,10:54:00,4,8,1,0
4198961,11:05:00,11:05:00,1,9,0,0
4198963,17:16:00,17:16:00,112,1,0,0
4198963,17:19:00,17:19:00,111,2,0,0
4198963,17:22:00,17:22:00,110,3,0,0
4198963,17:26:00,17:26:00,108,4,0,0
4198963,17:29:00,17:29:00,106,5,0,0
4198963,17:32:00,17:32:00,105,6,0,0
4198963,17:42:00,17:42:00,56,7,1,0
4198963,17:50:00,17:50:00,4,8,1,0
4198963,18:03:00,18:03:00,1,9,0,0
4198965,18:18:00,18:18:00,112,1,0,0
4198965,18:21:00,18:21:00,111,2,0,0
4198965,18:24:00,18:24:00,110,3,0,0
4198965,18:28:00,18:28:00,108,4,0,0
4198965,18:31:00,18:31:00,106,5,0,0
4198965,18:34:00,18:34:00,105,6,0,0
4198965,18:44:00,18:44:00,56,7,1,0
4198965,18:53:00,18:53:00,4,8,1,0
4198965,19:04:00,19:04:00,1,9,0,0
